EXECUTION_DATE,active,team,name,airOuts,atBats,atBatsPerHomeRun,avg,babip,baseOnBalls,catchersInterference,caughtStealing,doubles,gamesPlayed,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitByPitch,hits,homeRuns,intentionalWalks,leftOnBase,numberOfPitches,obp,ops,plateAppearances,rbi,runs,sacBunts,sacFlies,slg,stolenBasePercentage,stolenBases,strikeOuts,totalBases,triples
2026/03/26,True,New York Yankees,Trent Grisham,2,5,-.--,.200,.250,0,0,0,0,1,0,1,0.50,0,1,0,0,3,18,.200,.800,5,2,0,0,0,.600,.---,0,1,3,1
2026/03/26,True,San Francisco Giants,Harrison Bader,1,3,-.--,.000,.000,0,0,0,0,1,0,0,0.00,0,0,0,0,1,10,.000,.000,3,0,0,0,0,.000,.---,0,2,0,0
2026/03/26,True,San Francisco Giants,Patrick Bailey,1,3,-.--,.000,.000,0,0,0,0,1,0,1,1.00,0,0,0,0,1,12,.000,.000,3,0,0,0,0,.000,.---,0,1,0,0
2026/03/26,True,New York Yankees,José Caballero,1,4,-.--,.250,.250,0,0,0,0,1,1,2,2.00,0,1,0,0,3,11,.250,.500,4,1,1,0,0,.250,.---,0,0,1,0
2026/03/26,True,San Francisco Giants,Matt Chapman,2,3,-.--,.000,.000,1,0,0,0,1,0,1,0.50,0,0,0,0,1,17,.250,.250,4,0,0,0,0,.000,.---,0,0,0,0
2026/03/26,True,New York Yankees,Austin Wells,1,3,-.--,.667,.667,1,0,0,0,1,0,0,0.00,0,2,0,0,0,14,.750,1.417,4,0,1,0,0,.667,.---,0,0,2,0
2026/03/26,True,San Francisco Giants,Casey Schmitt,1,3,-.--,.000,.000,0,0,0,0,1,0,2,2.00,1,0,0,0,2,10,.250,.250,4,0,0,0,0,.000,.---,0,0,0,0
2026/03/26,True,San Francisco Giants,Jung Hoo Lee,3,4,-.--,.000,.000,0,0,0,0,1,0,1,0.33,0,0,0,0,3,13,.000,.000,4,0,0,0,0,.000,.---,0,0,0,0
2026/03/26,True,New York Yankees,Jazz Chisholm,0,3,-.--,.333,.333,0,0,0,0,1,0,2,2.00,1,1,0,0,1,8,.500,.833,4,0,1,0,0,.333,1.000,1,0,1,0
2026/03/26,True,New York Yankees,Cody Bellinger,1,5,-.--,.200,.333,0,0,0,0,1,0,1,1.00,0,1,0,0,2,17,.200,.400,5,0,1,0,0,.200,.---,0,2,1,0
2026/03/26,True,New York Yankees,Aaron Judge,0,5,-.--,.000,.000,0,0,0,0,1,0,1,1.00,0,0,0,0,4,24,.000,.000,5,0,0,0,0,.000,.---,0,4,0,0
2026/03/26,True,New York Yankees,Ryan McMahon,0,3,-.--,.333,1.000,1,0,0,0,1,0,0,-.--,0,1,0,0,1,18,.500,.833,4,2,1,0,0,.333,.---,0,2,1,0
2026/03/26,True,San Francisco Giants,Luis Arraez,0,3,-.--,.333,.333,1,0,0,0,1,0,2,2.00,0,1,0,0,0,15,.500,.833,4,0,0,0,0,.333,.---,0,0,1,0
2026/03/26,True,San Francisco Giants,Rafael Devers,2,4,-.--,.250,.250,0,0,0,0,1,0,1,0.50,0,1,0,0,2,11,.250,.500,4,0,0,0,0,.250,.---,0,0,1,0
2026/03/26,True,New York Yankees,Giancarlo Stanton,0,4,-.--,.500,.667,0,0,0,0,1,0,1,1.00,0,2,0,0,1,11,.500,1.000,4,1,1,0,0,.500,.---,0,1,2,0
2026/03/26,True,San Francisco Giants,Heliot Ramos,0,4,-.--,.250,.500,0,0,0,0,1,0,1,1.00,0,1,0,0,1,19,.250,.500,4,0,0,0,0,.250,.---,0,2,1,0
2026/03/26,True,San Francisco Giants,Willy Adames,2,4,-.--,.000,.000,0,0,0,0,1,0,1,0.50,0,0,0,0,2,14,.000,.000,4,0,0,0,0,.000,.---,0,1,0,0
2026/03/26,True,New York Yankees,Ben Rice,0,4,-.--,.250,.500,1,0,0,0,1,0,1,1.00,0,1,0,0,0,16,.400,.650,5,0,1,0,0,.250,.---,0,2,1,0
2026/03/26,True,New York Yankees,Trent Grisham,2,5,-.--,.200,.250,0,0,0,0,1,0,1,0.50,0,1,0,0,3,18,.200,.800,5,2,0,0,0,.600,.---,0,1,3,1
2026/03/26,True,San Francisco Giants,Harrison Bader,1,3,-.--,.000,.000,0,0,0,0,1,0,0,0.00,0,0,0,0,1,10,.000,.000,3,0,0,0,0,.000,.---,0,2,0,0
2026/03/26,True,San Francisco Giants,Patrick Bailey,1,3,-.--,.000,.000,0,0,0,0,1,0,1,1.00,0,0,0,0,1,12,.000,.000,3,0,0,0,0,.000,.---,0,1,0,0
2026/03/26,True,New York Yankees,José Caballero,1,4,-.--,.250,.250,0,0,0,0,1,1,2,2.00,0,1,0,0,3,11,.250,.500,4,1,1,0,0,.250,.---,0,0,1,0
2026/03/26,True,San Francisco Giants,Matt Chapman,2,3,-.--,.000,.000,1,0,0,0,1,0,1,0.50,0,0,0,0,1,17,.250,.250,4,0,0,0,0,.000,.---,0,0,0,0
2026/03/26,True,New York Yankees,Austin Wells,1,3,-.--,.667,.667,1,0,0,0,1,0,0,0.00,0,2,0,0,0,14,.750,1.417,4,0,1,0,0,.667,.---,0,0,2,0
2026/03/26,True,San Francisco Giants,Casey Schmitt,1,3,-.--,.000,.000,0,0,0,0,1,0,2,2.00,1,0,0,0,2,10,.250,.250,4,0,0,0,0,.000,.---,0,0,0,0
2026/03/26,True,San Francisco Giants,Jung Hoo Lee,3,4,-.--,.000,.000,0,0,0,0,1,0,1,0.33,0,0,0,0,3,13,.000,.000,4,0,0,0,0,.000,.---,0,0,0,0
2026/03/26,True,New York Yankees,Jazz Chisholm,0,3,-.--,.333,.333,0,0,0,0,1,0,2,2.00,1,1,0,0,1,8,.500,.833,4,0,1,0,0,.333,1.000,1,0,1,0
2026/03/26,True,New York Yankees,Cody Bellinger,1,5,-.--,.200,.333,0,0,0,0,1,0,1,1.00,0,1,0,0,2,17,.200,.400,5,0,1,0,0,.200,.---,0,2,1,0
2026/03/26,True,New York Yankees,Aaron Judge,0,5,-.--,.000,.000,0,0,0,0,1,0,1,1.00,0,0,0,0,4,24,.000,.000,5,0,0,0,0,.000,.---,0,4,0,0
